brand,Model,year,number_of_cylinders,engine_capacity_in_liters,engine_type,transmission,mixed_fuel_consumption_per_100_km_l,CO2_emissions_g/km
Acura,TSX,2010,4,2.4,Gasoline,Automatic,3.9,
Acura,EL,2003,4,1.7,Gasoline,Automatic,6.95,
Acura,EL,2003,4,1.7,Gasoline,Manual,6.95,
Acura,CSX,2010,4,2,Gasoline,Manual,7.55,
Acura,RSX,2007,4,2,Gasoline,Manual,7.9,
Acura,CSX,2010,4,2,Gasoline,Automatic,8,
Acura,Integra,2002,4,1.8,Gasoline,Manual,8.5,
Acura,Integra,2002,4,1.8,Gasoline,Automatic,8.5,
Acura,Integra,2002,4,1.8,Gasoline,Manual,8.5,
Acura,CL,2000,4,2.2,Gasoline,Manual,8.6,
Acura,CL,2000,4,2.3,Gasoline,Manual,8.6,
Acura,RSX,2007,4,2,Gasoline,Manual,8.7,
Acura,Integra,2002,4,1.8,Gasoline,Manual,8.75,
Acura,TLX,2016,6,3.5,Gasoline,Automatic,9.09,
Acura,TLX,2016,6,3.5,Gasoline,Automatic,9.39,
Acura,TL,2008,6,3.2,Gasoline,Automatic,9.95,
Acura,TL,2008,6,3.2,Gasoline,Manual,9.95,
Acura,CL,2000,4,2.2,Gasoline,Automatic,10.1,
Acura,CL,2000,4,2.3,Gasoline,Automatic,10.1,
Acura,CL,2000,6,3,Gasoline,Automatic,10.1,
Acura,CL,2003,6,3.2,Gasoline,Automatic,10.25,
Acura,CL,2003,6,3.2,Gasoline,Manual,10.25,
Acura,TL,2003,6,3.2,Gasoline,Automatic,10.25,
Acura,TL,2008,6,3.5,Gasoline,Automatic,10.25,
Acura,TL,2008,6,3.5,Gasoline,Manual,10.25,
Acura,CL,2003,6,3.2,Gasoline,Manual,10.4,
Acura,TL,2003,6,3.2,Gasoline,Automatic,10.5,
Acura,RL,2004,6,3.5,Gasoline,Automatic,10.5,
Acura,TL,2003,6,3.2,Gasoline,Automatic,10.55,
Acura,RDX,2010,4,2.3,Gasoline,Automatic,10.6,
Acura,RDX,2020,6,3.5,Gasoline,Automatic,10.8,
Acura,TSX,2008,6,3.5,Gasoline,Automatic,10.9,
Acura,TSX,2008,6,3.5,Gasoline,Manual,10.9,
Acura,NSX,2005,6,3.2,Gasoline,Manual,11,
Acura,RL,2008,6,3.5,Gasoline,Automatic,11,
Acura,RL,2004,6,3.5,Gasoline,Automatic,11,
Acura,TL,2011,6,3.5,Gasoline,Automatic,11.05,
Acura,RL,2008,6,3.7,Gasoline,Automatic,11.1,
Acura,RL,2010,6,3.7,Gasoline,Automatic,11.1,
Acura,MDX,2020,6,3.5,Gasoline,Automatic,11.4,
Acura,MDX,2006,6,3.5,Gasoline,Automatic,11.5,
Acura,MDX,2009,6,3.5,Gasoline,Automatic,11.5,
Acura,MDX,2006,6,3.5,Gasoline,Automatic,11.5,
Acura,TL,2011,6,3.7,Gasoline,Automatic,11.6,
Acura,MDX,2006,6,3.5,Gasoline,Automatic,12,
Acura,MDX,2009,6,3.7,Gasoline,Automatic,12.25,
Acura,NSX,2005,6,3.2,Gasoline,Manual,12.5,
Acura,ZDX,2010,6,3.7,Gasoline,Automatic,12.7,
Alfa Romeo,Giulia,2020,4,2.1,Diesel,Automatic,4.4,
Alfa Romeo,Giulia,2020,4,2.1,Diesel,Manual,4.4,
Alfa Romeo,MiTo,2013,4,1.2,Diesel,Manual,4.55,
Alfa Romeo,MiTo,2020,4,1.6,Diesel,Manual,4.55,
Alfa Romeo,Giulietta,2020,4,1.6,Diesel,Manual,4.6,
Alfa Romeo,145,1999,4,1.4,Gasoline,Manual,8.2,
Alfa Romeo,33,1994,4,1.5,Gasoline,Manual,8.2,
Alfa Romeo,33,1994,4,1.7,Gasoline,Manual,8.2,
Alfa Romeo,MiTo,2020,4,1.2,Diesel,Manual,3.65,
Alfa Romeo,75,1992,4,2,Gasoline,Manual,8.2,
Alfa Romeo,33,1994,4,1.7,Gasoline,Manual,8.3,
Alfa Romeo,Giulietta,2020,4,1.7,Gasoline,Manual,8.3,
Alfa Romeo,MiTo,2013,4,1.2,Diesel,Manual,4.8,
Alfa Romeo,Giulia,2020,4,2.1,Diesel,Automatic,4.9,
Alfa Romeo,Stelvio,2020,4,2.1,Diesel,Automatic,4.9,
Alfa Romeo,Giulietta,2020,4,2,Diesel,Manual,4.95,
Alfa Romeo,Stelvio,2020,4,2.1,Diesel,Automatic,4.95,
Alfa Romeo,MiTo,2013,4,1.6,Diesel,Manual,5,
Alfa Romeo,MiTo,2018,4,1.6,diesel,Manual,5,
Alfa Romeo,Spider,1993,4,2,Gasoline,Automatic,5.1,
Alfa Romeo,Spider,1993,4,2,Gasoline,Manual,5.25,
Alfa Romeo,Spider,1993,4,2,Gasoline,Manual,5.3,
Alfa Romeo,159,2011,4,2,Diesel,Manual,5.45,
Alfa Romeo,Spider,2010,4,2.4,Diesel,Manual,5.45,
Alfa Romeo,159,2011,4,1.9,Diesel,Manual,5.5,
Alfa Romeo,159,2011,4,1.9,Diesel,Manual,5.55,
Alfa Romeo,159,2011,4,2,Diesel,Manual,5.55,
Alfa Romeo,159,2011,4,1.9,Diesel,Manual,5.6,
Alfa Romeo,Giulia,2020,4,2.1,Diesel,Automatic,4,
Alfa Romeo,159,2011,4,2,Diesel,Manual,5.75,
Alfa Romeo,159,2011,4,2,Diesel,Manual,5.85,
Alfa Romeo,MiTo,2013,4,1.4,Gasoline,Manual,5.95,
Alfa Romeo,MiTo,2018,4,1.4,Gasoline,Manual,5.95,
Alfa Romeo,MiTo,2020,4,1.4,Gasoline,Manual,5.95,
Alfa Romeo,33,1994,4,1.8,Diesel,Manual,6,
Alfa Romeo,159,2011,4,1.9,Diesel,Manual,6.05,
Alfa Romeo,MiTo,2013,4,1.4,Gasoline,Manual,6.1,
Alfa Romeo,33,1994,4,1.8,Diesel,Manual,6.1,
Alfa Romeo,156,2007,4,1.9,Diesel,Manual,6.1,
Alfa Romeo,MiTo,2018,4,1.4,Gasoline,Manual,6.15,134
Alfa Romeo,145,2001,4,1.9,Diesel,Manual,6.15,
Alfa Romeo,146,2001,4,1.9,Diesel,Manual,6.15,
Alfa Romeo,159,2011,4,1.9,Diesel,Manual,6.15,
Alfa Romeo,Giulietta,2020,4,1.4,Gasoline,Manual,6.2,
Alfa Romeo,MiTo,2013,4,1.4,Gasoline,Manual,6.25,
Alfa Romeo,MiTo,2018,4,1.4,Gasoline,Manual,6.25,
Alfa Romeo,147,2004,4,1.9,Diesel,Manual,6.25,
Alfa Romeo,156,2007,4,1.9,Diesel,Manual,6.25,
Alfa Romeo,MiTo,2018,4,1.4,Gasoline,Manual,6.3,
Alfa Romeo,159,2011,4,1.9,Diesel,Manual,6.3,
Alfa Romeo,147,2004,4,1.9,Diesel,Manual,6.35,
Alfa Romeo,156,2007,4,1.9,Diesel,Manual,6.4,
Alfa Romeo,159,2011,4,1.9,Diesel,Manual,6.4,
Alfa Romeo,MiTo,2013,4,1.4,Gasoline,Manual,6.45,
Alfa Romeo,MiTo,2020,4,1.4,Gasoline,Manual,6.45,
Alfa Romeo,156,2007,4,1.9,Diesel,Manual,6.5,
Alfa Romeo,GT,2010,4,1.9,Diesel,Manual,6.5,
Alfa Romeo,Giulia,2020,4,2,Gasoline,Automatic,6.5,
Alfa Romeo,164,1998,4,2.5,Diesel,Manual,6.5,
Alfa Romeo,164,1998,4,2.5,Diesel,Manual,6.5,
Alfa Romeo,MiTo,2013,4,1.4,Gasoline,Manual,6.55,
Alfa Romeo,159,2011,4,1.9,Diesel,Manual,6.55,
Alfa Romeo,Giulietta,2020,4,1.4,Gasoline,Manual,6.85,
Alfa Romeo,MiTo,2013,4,1.4,Gasoline,Manual,6.9,
Alfa Romeo,145,1999,4,1.9,Diesel,Manual,6.9,
Alfa Romeo,146,2001,4,1.9,Diesel,Manual,6.9,
Alfa Romeo,Giulia,2020,4,2,Gasoline,Automatic,6.9,
Alfa Romeo,166,2007,5,2.4,Diesel,Manual,7,
Alfa Romeo,156,2007,5,2.4,Diesel,Manual,7.05,
Alfa Romeo,Brera,2020,5,2.4,Diesel,Manual,7.1,
Alfa Romeo,156,2007,5,2.4,Diesel,Manual,7.15,
Alfa Romeo,75,1992,4,2.4,Diesel,Manual,7.2,
Alfa Romeo,156,2007,5,2.4,Diesel,Manual,7.25,
Alfa Romeo,159,2011,5,2.4,Diesel,Manual,7.3,
Alfa Romeo,159,2011,4,1.9,Diesel,Automatic,7.35,
Alfa Romeo,159,2011,5,2.4,Diesel,Manual,7.35,
Alfa Romeo,Stelvio,2020,4,2,Gasoline,Automatic,7.4,
Alfa Romeo,159,2011,4,1.9,Diesel,Automatic,7.45,
Alfa Romeo,164,1998,4,2,Gasoline,Manual,7.5,
Alfa Romeo,159,2011,5,2.4,Diesel,Manual,7.5,
Alfa Romeo,166,2007,5,2.4,Diesel,Manual,7.5,
Alfa Romeo,156,2007,4,1.9,Diesel,Manual,7.55,
Alfa Romeo,33,1994,4,1.4,Gasoline,Manual,7.6,
